,0,1,2
405,Apache-Sitgreaves National Forest,39.5541667,-93.44027779999999
406,Kaibab National Forest,34.5752778,-89.27444440000001
407,Tonto National Forest,38.7333333,-93.6936111
408,Cibola National Forest and Grasslands,34.2316667,-94.0491667
409,Lincoln National Forest,47.43,-94.2308333
410,Santa Fe National Forest,47.2447222,-88.76
411,Prescott National Forest,39.4344444,-88.74027779999999
412,Coronado National Forest,39.4522222,-92.2444444
413,Carson National Forest,44.859444399999994,-98.08333329999999
414,Humboldt-Toiyabe National Forest Headquarters,47.0375,-91.64583329999999
415,Ashley National Forest,39.51888889999999,-88.95111109999999
416,Uinta-Wasatch-Cache National Forest,38.0569444,-89.0055556
417,Fishlake National Forest,38.0711111,-88.9969444
418,Boise National Forest,38.0652778,-89.6036111
419,Bridger-Teton National Forest,33.8441667,-92.9697222
420,Dixie National Forest,41.3802778,-88.7725
421,Manti-La Sal National Forest,39.445555600000006,-93.7458333
422,Caribou-Targhee National Forest,34.1416667,-93.58333329999999
423,Sawtooth National Forest,47.25,-93.6875
424,Salmon-Challis National Forest,41.7483333,-91.66305559999999
425,Payette National Forest,39.5158333,-88.93611109999999
426,Stanislaus National Forest,38.0375,-89.0047222
427,Modoc National Forest,38.0602778,-88.9911111
428,Plumas National Forest,38.0583333,-91.59527779999999
429,SHASTA-TRINITY NATIONAL FOREST,41.8136111,-93.3283333
430,Tahoe National Forest,46.7883333,-90.8772222
431,Inyo National Forest,41.4475,-93.26777779999999
432,Lassen National Forest,34.289444399999994,-89.8861111
433,Sequoia National Forest,34.1355556,-91.5591667
434,Klamath National Forest,41.7563889,-94.3513889
435,Cleveland National Forest,46.4108333,-90.1108333
436,Eldorado National Forest,41.951666700000004,-93.46888890000001
437,Los Padres National Forest,34.5730556,-89.8916667
438,San Bernardino National Forest,34.16111110000001,-92.9943667
439,Sierra National Forest,41.4,-89.76388890000001
440,Six Rivers National Forest,34.143055600000004,-91.5355556
441,Lake Tahoe Basin Management Unit,41.7252778,-90.1325
442,Mendocino National Forest,34.7466667,-90.2772778
443,Angeles National Forest,36.934605600000005,-90.4558333
444,Umpqua National Forest,37.1003722,-90.27525279999999
